ID,FRAMENUMBER,ANIMALID,MASS_X,MASS_Y,MASS_Z,FRONT_X,FRONT_Y,FRONT_Z,BACK_X,BACK_Y,BACK_Z,REARING,LOOK_UP,LOOK_DOWN,DATA
1,49,1,363.92,330.41,51.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""363.92"" mass_y=""330.41"" mass_z=""51.88"" t=""49""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>238</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>348</boundsX><boundsY>310</boundsY><boundsW>31</boundsW><boundsH>38</boundsH><boolMaskData>78:5e:a5:d3:4b:e:c0:20:8:4:50:7b:ff:4b:57:5:3f:c0:c:21:d1:55:c3:93:41:63:da:1a:58:5f:5f:a0:bc:4a:83:b9:4f:a5:2c:ca:7c:29:6e:df:a:f9:28:e2:4b:d1:f0:9c:8d:86:74:ab:21:3d:67:af:a6:3d:e2:cd:48:f7:e1:20:f6:a2:bc:21:d3:c9:14:a5:99:72:21:9a:67:57:9a:df:ba:9f:ce:4d:47:eb:3f:c1:c2:f3:6b:55:94:4d:d6:c1:ec:b9:72:de:a:db:2f:1d:9f:fe:6e:8e:dd:8e:a8:26:1:b1:26:38:fa:1:89:1e:2:ac</boolMaskData></ROI></root>"
2,50,1,364.07,329.92,54.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.07"" mass_y=""329.92"" mass_z=""54.16"" t=""50""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>244</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>348</boundsX><boundsY>308</boundsY><boundsW>30</boundsW><boundsH>40</boundsH><boolMaskData>78:5e:b5:d2:e1:e:80:20:8:4:60:79:ff:97:8e:10:53:f0:b8:35:5b:fd:6a:7c:71:b0:b4:35:f0:88:8:a8:7a:49:b1:66:c3:92:a9:3a:e2:c9:3:71:34:d5:89:20:7a:41:10:4d:35:60:6e:4e:98:98:ea:86:61:6d:aa:3b:ce:5e:60:63:2b:48:5a:b4:3:af:f0:85:fe:d1:6a:63:3f:4:1f:f6:f6:bb:5f:cd:a5:4a:d1:cf:a7:8:ee:ad:c5:ca:e7:38:2e:5:9e:ea:b9:f8:2f:3f:8:79:51:7d:cd:f1:51:d3:7:1b:de:85:9e:10:e8:2:c6:d7:2:ce</boolMaskData></ROI></root>"
3,51,1,364.3,329.97,53.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.3"" mass_y=""329.97"" mass_z=""53.2"" t=""51""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>246</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>349</boundsX><boundsY>309</boundsY><boundsW>29</boundsW><boundsH>39</boundsH><boolMaskData>78:5e:ad:d2:51:12:80:20:8:4:50:bb:ff:a5:53:54:14:dc:85:6a:f2:4f:df:6c:a0:54:8a:5f:57:5d:fe:4c:f7:d:99:8a:11:1d:86:a3:13:91:aa:c5:78:e8:ca:81:96:c:ba:a8:35:77:1d:8f:26:1b:e1:61:5b:f2:b4:85:c0:14:df:5a:f:a2:54:3b:93:11:47:c8:4c:92:ff:63:da:f:ab:d9:ff:55:d2:50:8e:24:18:be:4f:fe:55:d2:6c:f:7e:c0:7:41:78:91:91:c3:15:27:a2:a7:37:56:e7:bd:8f:dc:d9:aa:61:e1:6:68:ce:2:b9</boolMaskData></ROI></root>"
4,52,1,364.26,330.06,54.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.26"" mass_y=""330.06"" mass_z=""54.8"" t=""52""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>257</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>348</boundsX><boundsY>309</boundsY><boundsW>30</boundsW><boundsH>38</boundsH><boolMaskData>78:5e:b5:d2:4b:16:c0:20:8:3:40:b9:ff:a5:fb:51:14:4c:c2:a2:be:ba:64:1a:4a:2d:ad:c1:31:83:d2:2a:d8:73:94:bf:a8:78:a0:8:bb:52:9e:48:7b:7:c5:74:44:48:67:dc:b9:d4:1d:73:18:34:dd:58:a9:80:f1:9b:10:83:12:74:65:74:d7:fa:54:2:cf:55:35:ee:9d:bf:e9:cf:23:37:35:55:f9:de:f1:77:45:b6:54:5f:c:9a:9d:5b:73:a0:65:b4:42:6a:73:dd:8c:de:54:5a:f3:ed:89:65:17:4d:f7:2:c1</boolMaskData></ROI></root>"
5,53,1,364.69,329.49,53.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.69"" mass_y=""329.49"" mass_z=""53.6"" t=""53""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>263</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>350</boundsX><boundsY>308</boundsY><boundsW>28</boundsW><boundsH>39</boundsH><boolMaskData>78:5e:b5:d1:51:12:80:20:8:4:50:b9:ff:a5:2b:85:40:58:d7:a9:26:ff:f2:b5:c0:60:6b:f3:11:49:17:fe:29:fd:60:1e:86:51:d:a0:9:ac:4a:d0:a9:14:d:94:87:9d:69:ee:49:2c:53:6c:59:2c:60:b1:bc:c9:f8:c3:6d:25:e5:73:2:b2:76:f:49:6b:a2:d4:79:77:cd:b2:a0:2f:c6:4a:b2:7e:6f:72:7d:9d:8b:e0:f:36:5e:f:f7:23:36:8:cf:49:4c:9:e6:f6:31:34:e5:3a:65:bd:ea:36:5d:da:1:2d:ce:2:c8</boolMaskData></ROI></root>"
6,54,1,365.03,328.43,53.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""365.03"" mass_y=""328.43"" mass_z=""53.08"" t=""54""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>269</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>350</boundsX><boundsY>305</boundsY><boundsW>27</boundsW><boundsH>43</boundsH><boolMaskData>78:5e:bd:d3:41:e:80:20:c:44:51:b8:ff:a5:a5:4:9a:3a:ed:c7:85:51:57:ca:73:a6:68:b4:35:39:7a:ef:ba:b4:ae:87:0:99:0:32:2d:29:2a:b7:9c:28:9b:a7:f2:2e:3:49:2e:8a:e4:ee:14:73:22:af:49:fb:42:21:53:12:4f:b1:b4:4c:3b:85:52:c0:58:b2:4f:a2:96:4f:8:46:d9:ac:bf:68:fe:4:f5:30:96:c3:cb:e0:be:29:f5:2c:a6:25:d5:e:99:9e:25:f7:61:66:3:47:ec:a1:fc:2e:3d:b9:0:ae:58:2:d4</boolMaskData></ROI></root>"
7,55,1,365.05,326.91,53.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""365.05"" mass_y=""326.91"" mass_z=""53.12"" t=""55""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>274</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>353</boundsX><boundsY>303</boundsY><boundsW>25</boundsW><boundsH>44</boundsH><boolMaskData>78:5e:a5:91:5b:e:c0:20:8:4:e5:fe:97:2e:6a:90:e7:6a:ac:fd:6a:77:32:b:d6:d6:f4:21:22:f3:e5:f2:9a:b0:50:3a:33:2f:1c:1:69:ce:19:4:65:9:71:1:b:9c:e3:80:25:1e:28:9:f9:3a:e:ca:db:3b:90:7f:fe:de:24:c7:48:4d:27:90:85:6e:14:29:47:f7:80:40:13:77:d5:23:7e:0:b4:2d:af:b:66:6c:0:50:90:d1:2f:b0:1c:82:c0:b8:f1:ca:40:60:e4:d9:98:f1:5:10:21:56:ad:dc:3:8d:35:37:d9:78:fd:0:86:17:2:e1</boolMaskData></ROI></root>"
8,56,1,364.84,325.78,52.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.84"" mass_y=""325.78"" mass_z=""52.64"" t=""56""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>279</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>350</boundsX><boundsY>301</boundsY><boundsW>27</boundsW><boundsH>48</boundsH><boolMaskData>78:5e:bd:d4:4b:e:80:20:c:4:50:b8:ff:a5:15:2a:fd:4c:a7:26:92:8:3b:78:e:25:90:da:5a:1c:1d:e6:3a:ed:f7:28:6c:10:b7:29:6f:c4:50:42:34:a7:94:f7:34:42:73:82:e5:2:c5:5c:a4:60:35:81:b8:14:ca:8f:94:4a:59:ad:2d:ca:21:dd:b0:26:22:2b:55:12:83:e7:c5:e:12:2f:25:e7:e0:36:db:e2:c:49:7:d2:5a:5b:b4:3a:3a:ed:68:ad:8e:e4:7e:2:40:4e:f0:3a:6a:f2:12:52:1:f4:7e:61:75:4c:e7:29:3e:ac:8f:4:f9:5c:96:2e:ee:94:2:e5</boolMaskData></ROI></root>"
9,57,1,364.68,323.83,49.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.68"" mass_y=""323.83"" mass_z=""49.92"" t=""57""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>287</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>353</boundsX><boundsY>299</boundsY><boundsW>23</boundsW><boundsH>49</boundsH><boolMaskData>78:5e:ad:d3:db:12:80:20:8:4:50:fc:ff:9f:4e:6:41:2e:cb:94:4e:bd:75:da:d9:30:93:c8:ae:31:c6:be:f1:8a:7c:86:41:5e:34:e7:55:53:fd:1b:c7:b8:a5:43:bb:53:ef:81:5d:4f:74:7d:80:95:12:af:74:56:e1:a2:bf:b0:6c:42:e9:be:e0:d2:71:b1:9a:da:c1:9f:fc:bb:ce:34:a:b7:8c:c3:5d:c9:59:fa:68:12:bc:c8:66:ed:d:cf:3d:43:13:f2:56:66:27:fc:ef:ac:13:99:d2:7a:4e:23:c7:d3:ab:cf:4c:f7:3b:1d:d9:28:c9:24:5c:90:c7:ae:d8:28:3d:34:7f:2:ea</boolMaskData></ROI></root>"
10,58,1,364.38,322.78,52.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,"<root><DATA isLookingDown=""false"" isLookingUp=""false"" isRearing=""false"" mass_x=""364.38"" mass_y=""322.78"" mass_z=""52.44"" t=""58""/><ROI><classname>plugins.fab.livemousetracker.ROI2DAreaX</classname><id>291</id><name>seg ok</name><selected>false</selected><readOnly>false</readOnly><properties/><color>-1</color><stroke>2</stroke><opacity>0.3</opacity><showName>false</showName><z>-1</z><t>-1</t><c>-1</c><boundsX>351</boundsX><boundsY>299</boundsY><boundsW>25</boundsW><boundsH>51</boundsH><boolMaskData>78:5e:9d:92:4b:12:80:20:c:43:f1:fe:97:b6:48:b1:bf:84:b1:b2:92:3c:92:14:c6:31:6c:5d:b2:dc:36:2:84:a6:1:99:b6:5e:d2:5e:90:c9:7:10:2d:66:90:2f:3f:74:0:1e:75:41:3a:6f:51:5:ec:fe:2:f6:5c:c:14:9d:26:fd:0:6a:69:74:2c:47:35:e8:d5:1:58:17:64:0:e8:4f:5:d2:39:10:2:d:73:aa:26:38:95:e3:a8:93:3:b7:b7:1d:e7:37:4:25:fa:57:95:81:55:cf:8e:2d:e7:d7:32:3d:39:1c:f0:c4:cb:96:15:55:d9:3d:63:15:75:1:24:4f:7:d1:89:8c:8f:93:56:1e:3f:6e:97:f4:2:e9</boolMaskData></ROI></root>"
